condition,fold,form,gold_lemma,pred_lemma,correct,rule_seen,train_freq,length
cagf_gold,0,Сізде,сіз,сіз,1,1,1,5
cagf_gold,0,сейф,сейф,сейф,1,1,0,4
cagf_gold,0,бар,бар,бар,1,1,22,3
cagf_gold,0,ма,ма,ма,1,1,3,2
cagf_gold,0,?,?,?,1,1,77,1
cagf_gold,0,Аурухананың,аурухана,Аурухананың,0,1,0,11
cagf_gold,0,киімдерін,киім,киім,1,1,1,9
cagf_gold,0,тастап,таста,тастап,0,1,0,6
cagf_gold,0,",",",",",",1,1,448,1
cagf_gold,0,өз,өз,өз,1,1,12,2
cagf_gold,0,киімін,киім,киімін,0,1,1,6
cagf_gold,0,киген,ки,киген,0,1,0,5
cagf_gold,0,соң,соң,соң,1,1,7,3
cagf_gold,0,",",",",",",1,1,448,1
cagf_gold,0,адам,адам,адам,1,1,9,4
cagf_gold,0,сияқтанып,сияқтан,сияқтанып,0,1,0,9
cagf_gold,0,қалды,қал,қал,1,1,6,5
cagf_gold,0,.,.,.,1,1,764,1
cagf_gold,0,Қазір,қазір,қазір,1,1,2,5
cagf_gold,0,1,1,1,1,1,6,1
cagf_gold,0,млрд.,млрд.,млрд.,1,1,3,5
cagf_gold,0,АҚШ,АҚШ,АҚШ,1,1,7,3
cagf_gold,0,долларына,доллар,доллар,1,1,1,9
cagf_gold,0,дейінгі,дейін,дейінгі,0,1,0,7
cagf_gold,0,қаражаты,қаражат,қаражаты,0,1,0,8
cagf_gold,0,бар,бар,бар,1,1,22,3
cagf_gold,0,бірлескен,бірлес,бірлес,1,1,1,9
cagf_gold,0,қор,қор,қор,1,1,0,3
cagf_gold,0,құрылып,құр,құр,1,1,1,7
cagf_gold,0,жатыр,жат,жат,1,1,13,5
cagf_gold,0,.,.,.,1,1,764,1
cagf_gold,0,Сөйтіп,сөйт,сөйт,1,1,3,6
cagf_gold,0,практикалық,практикалық,практикалық,1,1,0,11
cagf_gold,0,қажеттілік,қажеттілік,қажеттілік,1,1,1,10
cagf_gold,0,астрономия,астрономия,астрономия,1,1,0,10
cagf_gold,0,ғылымының,ғылым,ғылым,1,1,1,9
cagf_gold,0,тууына,ту,тууына,0,0,0,6
cagf_gold,0,ең,ең,ең,1,1,3,2
cagf_gold,0,басты,басты,басты,1,1,5,5
cagf_gold,0,түрткі,түрткі,түрткі,1,1,0,6
cagf_gold,0,болды,бол,бол,1,1,31,5
cagf_gold,0,.,.,.,1,1,764,1
cagf_gold,0,Қала,қала,қала,1,1,2,4
cagf_gold,0,халқы,халық,халық,1,1,5,5
cagf_gold,0,"58,3%","58,3","58,3%",0,0,0,5
cagf_gold,0,.,.,.,1,1,764,1
cagf_gold,0,Мұның,бұл,бұл,1,1,1,5
cagf_gold,0,бәрі,бәрі,бәрі,1,1,3,4
cagf_gold,0,оған,ол,ол,1,1,3,4
cagf_gold,0,құдайдың,құдай,құдай,1,1,1,8
cagf_gold,0,бұйырған,бұйыр,бұйырған,0,1,0,8
cagf_gold,0,жұмысы,жұмыс,жұмыс,1,1,3,6
cagf_gold,0,тәрізді,тәрізді,тәрізді,1,1,0,7
cagf_gold,0,.,.,.,1,1,764,1
cagf_gold,0,Соғыстан,соғыс,соғыс,1,1,1,8
cagf_gold,0,кейін,кейін,кейін,1,1,19,5
cagf_gold,0,Иран,Иран,Иран,1,1,32,4
cagf_gold,0,үкіметі,үкімет,үкімет,1,1,2,7
cagf_gold,0,Батыс,батыс,батыс,1,1,3,5
cagf_gold,0,елдерімен,ел,елдерімен,0,0,0,9
cagf_gold,0,тығыз,тығыз,тығыз,1,1,3,5
cagf_gold,0,байланыс,байланыс,байланыс,1,1,2,8
cagf_gold,0,орнатты,орнат,орнатты,0,1,0,7
cagf_gold,0,.,.,.,1,1,764,1
cagf_gold,0,Жыл,жыл,жыл,1,1,0,3
cagf_gold,0,сайын,сайын,сайын,1,1,5,5
cagf_gold,0,",",",",",",1,1,448,1
cagf_gold,0,ай,ай,ай,1,1,0,2
cagf_gold,0,сайын,сайын,сайын,1,1,5,5
cagf_gold,0,жаңа,жаңа,жаңа,1,1,18,4
cagf_gold,0,ғимараттар,ғимарат,ғимараттар,0,1,0,10
cagf_gold,0,іске,іске,іске,1,1,3,4
cagf_gold,0,қосылып,қос,қосылып,0,1,0,7
cagf_gold,0,жатыр,жат,жат,1,1,13,5
cagf_gold,0,.,.,.,1,1,764,1
cagf_gold,0,Елге,ел,елге,0,1,0,4
cagf_gold,0,келген,кел,кел,1,1,6,6
cagf_gold,0,соң,соң,соң,1,1,7,3
cagf_gold,0,ауыл,ауыл,ауыл,1,1,4,4
cagf_gold,0,-,-,-,1,1,75,1
cagf_gold,0,ауылдан,ауыл,ауыл,1,1,0,7
cagf_gold,0,мал,мал,мал,1,1,5,3
cagf_gold,0,",",",",",",1,1,448,1
cagf_gold,0,киіз,киіз,киіз,1,1,0,4
cagf_gold,0,",",",",",",1,1,448,1
cagf_gold,0,төсек,төсек,төсек,1,1,0,5
cagf_gold,0,-,-,-,1,1,75,1
cagf_gold,0,орын,орын,орын,1,1,5,4
cagf_gold,0,",",",",",",1,1,448,1
cagf_gold,0,ыдыс,ыдыс,ыдыс,1,1,0,4
cagf_gold,0,-,-,-,1,1,75,1
cagf_gold,0,сайман,сайман,сайман,1,1,0,6
cagf_gold,0,алып,ал,ал,1,1,10,4
cagf_gold,0,жүрген,жүр,жүр,1,1,1,6
cagf_gold,0,ақтардың,ақ,ақ,1,1,0,8
cagf_gold,0,адамына,адам,адамына,0,1,0,7
cagf_gold,0,жолығып,жолық,жолығып,0,0,0,7
cagf_gold,0,",",",",",",1,1,448,1
cagf_gold,0,іш,іш,іш,1,1,1,2
cagf_gold,0,пікірім,пікір,пікірім,0,0,0,7
cagf_gold,0,ішімде,іш,ішімде,0,0,0,6
cagf_gold,0,соларға,сол,соларға,0,0,0,7
cagf_gold,0,кісі,кісі,кісі,1,1,9,4
cagf_gold,0,болдым,бол,бол,1,1,1,6
cagf_gold,0,.,.,.,1,1,764,1
cagf_gold,0,Бұл,бұл,бұл,1,1,27,3
cagf_gold,0,театрларды,театр,театрларды,0,1,0,10
cagf_gold,0,құруда,құр,құруда,0,0,0,6
cagf_gold,0,актер,актер,актер,1,1,0,5
cagf_gold,0,Сейед,Сейед,Сейед,1,1,0,5
cagf_gold,0,Әли,Әли,Әли,1,1,1,3
cagf_gold,0,Нәсірдің,Нәсір,нәсірдің,0,1,0,8
cagf_gold,0,еңбегі,еңбек,еңбегі,0,1,0,6
cagf_gold,0,зор,зор,зор,1,1,2,3
cagf_gold,0,.,.,.,1,1,764,1
cagf_gold,0,Осы,осы,осы,1,1,13,3
cagf_gold,0,мақсатта,мақсат,мақсатта,0,1,0,8
cagf_gold,0,Астана,Астана,Астана,1,1,5,6
cagf_gold,0,қаласына,қала,қала,1,1,1,8
cagf_gold,0,107,107,107,1,1,0,3
cagf_gold,0,миллиард,миллиард,миллиард,1,1,6,8
cagf_gold,0,теңге,теңге,теңге,1,1,2,5
cagf_gold,0,қаржы,қаржы,қаржы,1,1,3,5
cagf_gold,0,бөлінді,бөл,бөл,1,1,1,7
cagf_gold,0,.,.,.,1,1,764,1
cagf_gold,0,Жаңа,жаңа,жаңа,1,1,3,4
cagf_gold,0,халықаралық,халықаралық,халықаралық,1,1,4,11
cagf_gold,0,әуежай,әуежай,әуежай,1,1,0,6
cagf_gold,0,",",",",",",1,1,448,1
cagf_gold,0,спорт,спорт,спорт,1,1,0,5
cagf_gold,0,кешендері,кешен,кешендері,0,1,0,9
cagf_gold,0,",",",",",",1,1,448,1
cagf_gold,0,мектептер,мектеп,мектептер,0,1,0,9
cagf_gold,0,салынады,сал,сал,1,1,2,8
cagf_gold,0,.,.,.,1,1,764,1
cagf_gold,0,Инвестициялық,инвестициялық,инвестициялық,1,1,0,13
cagf_gold,0,саладағы,сала,саладағы,0,1,0,8
cagf_gold,0,ынтымақтастық,ынтымақтастық,ынтымақтастық,1,1,1,13
cagf_gold,0,табысты,табысты,табысты,1,1,2,7
cagf_gold,0,дамуда,дамы,дамуда,0,0,0,6
cagf_gold,0,.,.,.,1,1,764,1
cagf_gold,0,Болашақта,болашақ,болашақта,0,0,0,9
cagf_gold,0,бұл,бұл,бұл,1,1,17,3
cagf_gold,0,көрсеткіш,көрсеткіш,көрсеткіш,1,1,2,9
cagf_gold,0,өсе,өс,өс,1,1,1,3
cagf_gold,0,бермек,бер,бер,1,1,1,6
cagf_gold,0,.,.,.,1,1,764,1
cagf_gold,0,Осының,осы,осы,1,1,1,6
cagf_gold,0,барлығы,барлық,барлық,1,1,1,7
cagf_gold,0,бізді,біз,біз,1,1,2,5
cagf_gold,0,жігерлендіре,жігерлендір,жігерлендіре,0,0,0,12
cagf_gold,0,түседі,түс,түс,1,1,5,6
cagf_gold,0,.,.,.,1,1,764,1
cagf_gold,0,Жалғыз,жалғыз,жалғыз,1,1,0,6
cagf_gold,0,болсаң,бол,болсаң,0,0,0,6
cagf_gold,0,–,–,–,1,1,29,1
cagf_gold,0,топқа,топ,топқа,0,1,0,5
cagf_gold,0,басың,бас,басың,0,0,0,5
cagf_gold,0,кіре,кір,кіре,0,1,1,4
cagf_gold,0,алмас,ал,алмас,0,0,0,5
cagf_gold,0,.,.,.,1,1,764,1
cagf_gold,0,Осы,осы,осы,1,1,13,3
cagf_gold,0,кезден,кез,кезден,0,0,0,6
cagf_gold,0,елдің,ел,ел,1,1,2,5
cagf_gold,0,ішкі,ішкі,ішкі,1,1,4,4
cagf_gold,0,істеріне,іс,істеріне,0,0,0,8
cagf_gold,0,еуропалық,еуропалық,еуропалық,1,1,4,9
cagf_gold,0,мемлекеттер,мемлекет,мемлекет,1,1,2,11
cagf_gold,0,(,(,(,1,1,37,1
cagf_gold,0,Англия,Англия,Англия,1,1,0,6
cagf_gold,0,",",",",",",1,1,448,1
cagf_gold,0,Франция,Франция,Франция,1,1,1,7
cagf_gold,0,),),),1,1,37,1
cagf_gold,0,араласа,аралас,арала,0,1,1,7
cagf_gold,0,бастады,баста,баста,1,1,15,7
cagf_gold,0,.,.,.,1,1,764,1
cagf_gold,0,Ақтардың,ақ,ақ,1,1,1,8
cagf_gold,0,өзін,өз,өзін,0,1,0,4
cagf_gold,0,кеше,кеше,кеше,1,1,1,4
cagf_gold,0,кешке,кеш,кешке,0,1,0,5
cagf_gold,0,әкелді,әкел,әкел,1,1,2,6
cagf_gold,0,.,.,.,1,1,764,1
cagf_gold,0,Алтын,алтын,Алтын,0,1,0,5
cagf_gold,0,",",",",",",1,1,448,1
cagf_gold,0,күміс,күміс,күміс,1,1,0,5
cagf_gold,0,",",",",",",1,1,448,1
cagf_gold,0,қола,қола,қола,1,1,0,4
cagf_gold,0,және,және,және,1,1,52,4
cagf_gold,0,әйнектен,әйнек,әйнектен,0,1,0,8
cagf_gold,0,әр,әр,әр,1,1,2,2
cagf_gold,0,түрлі,түрлі,түрлі,1,1,0,5
cagf_gold,0,бұйымдар,бұйым,бұйымдар,0,1,0,8
cagf_gold,0,жасау,жаса,жаса,1,1,3,5
cagf_gold,0,",",",",",",1,1,448,1
cagf_gold,0,жүн,жүн,жүн,1,1,0,3
cagf_gold,0,және,және,және,1,1,52,4
cagf_gold,0,жібек,жібек,жібек,1,1,0,5
cagf_gold,0,мата,мата,мата,1,1,0,4
cagf_gold,0,тоқу,тоқ,тоқу,0,1,0,4
cagf_gold,0,өркен,өркен,өркен,1,1,0,5
cagf_gold,0,жайды,жай,жай,1,1,1,5
cagf_gold,0,.,.,.,1,1,764,1
cagf_gold,0,Төстік,Төстік,Төстік,1,1,2,6
cagf_gold,0,бір,бір,бір,1,1,31,3
cagf_gold,0,күні,күн,күн,1,1,1,4
cagf_gold,0,ауылдың,ауыл,ауылдың,0,1,0,7
cagf_gold,0,арасында,ара,ара,1,1,5,8
cagf_gold,0,отырған,отыр,отыр,1,1,2,7
cagf_gold,0,тарғақты,тарғақ,тарғақты,0,1,0,8
cagf_gold,0,садақпен,садақ,садақпен,0,0,0,8
cagf_gold,0,тартып,тарт,тарт,1,1,2,6
cagf_gold,0,қалады,қал,қал,1,1,4,6
cagf_gold,0,.,.,.,1,1,764,1
cagf_gold,0,Пойыз,пойыз,пойыз,1,1,0,5
cagf_gold,0,Астанаға,Астана,Астана,1,1,2,8
cagf_gold,0,қашан,қашан,қашан,1,1,2,5
cagf_gold,0,шығады,шық,шық,1,1,2,6
cagf_gold,0,?,?,?,1,1,77,1
cagf_gold,0,Ислам,Ислам,ислам,0,1,4,5
cagf_gold,0,діні,дін,дін,1,1,1,4
cagf_gold,0,-,-,-,1,1,75,1
cagf_gold,0,адамға,адам,адам,1,1,2,6
cagf_gold,0,ауырлық,ауырлық,ауырлық,1,1,0,7
cagf_gold,0,жүктемейді,жүкте,жүктемейді,0,0,0,10
cagf_gold,0,.,.,.,1,1,764,1
cagf_gold,0,Намыс,намыс,намыс,1,1,0,5
cagf_gold,0,қылып,қыл,қыл,1,1,1,5
cagf_gold,0,балаға,бала,балаға,0,1,0,6
cagf_gold,0,мойын,мойын,мойын,1,1,0,5
cagf_gold,0,бұрды,бұр,бұр,1,1,0,5
cagf_gold,0,.,.,.,1,1,764,1
cagf_gold,0,Заң,заң,заң,1,1,1,3
cagf_gold,0,шығарушылық,шығар,шығарушылық,0,0,0,11
